2025-05-22 11:27:10.232 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-22 11:27:18.596 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "POST" "http"://"localhost:5016""""/api/MQ/ComposePutAndGetMsg""" - "application/json" 86 ||  ||end 
2025-05-22 11:27:18.644 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-22 11:27:18.650 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"MQWebApplication.Controllers.MQController.post (MQWebApplication)"' ||  ||end 
2025-05-22 11:27:18.686 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Route matched with "{action = \"post\", controller = \"MQ\"}". Executing controller action with signature "Microsoft.AspNetCore.Mvc.IActionResult post(MQWebApplication.Models.PutMsgDto)" on controller "MQWebApplication.Controllers.MQController" ("MQWebApplication"). ||  ||end 
2025-05-22 11:33:29.810 +08:00 || Information || MQWebApplication.Controllers.MQController || XML消息体内容:"<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-22 11:33:06</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-22 11:33:06\" action=\"update\"><PINYIN_CODE /><WUBI_CODE /><INVALID_FLAG>1</INVALID_FLAG><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><UPDATE_USER /><UPDATE_TIME>2025-05-22 11:33:06</UPDATE_TIME><IS_WARD>0</IS_WARD><UPDATE_FLAG>0</UPDATE_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-05-22 11:33:36.577 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成MQ消息体内容:PutMsgDto { DataChannel: "PS02004", Msg: "<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-22 11:33:06</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-22 11:33:06\" action=\"update\"><PINYIN_CODE /><WUBI_CODE /><INVALID_FLAG>1</INVALID_FLAG><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><UPDATE_USER /><UPDATE_TIME>2025-05-22 11:33:06</UPDATE_TIME><IS_WARD>0</IS_WARD><UPDATE_FLAG>0</UPDATE_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: "", QMgrName: "QMGR.P27", WaitInternal: 1 } ||  ||end 
2025-05-22 11:34:06.100 +08:00 || Information || MQWebApplication.Controllers.MQController || 接收返回MQ消息:SdkResponse`1 { Result: null, Msg: "", Code: "SDK23999", IsSuccessful: False, Data: null, OID: null } ||  ||end 
2025-05-22 21:33:43.700 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-22 21:33:43.764 +08:00 || Information ||  || 运行环境: "MQ接口服务正在运行!!! 请勿随意关闭接口服务，避免造成数据丢失!!! Powered by .NET 9.0.5 强力驱动 on Kestrel" ||  ||end 
2025-05-22 21:33:44.128 +08:00 || Warning || Microsoft.AspNetCore.Server.Kestrel || Overriding address(es) '"http://localhost:5016"'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead. ||  ||end 
2025-05-22 21:33:44.178 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://[::]:5000" ||  ||end 
2025-05-22 21:33:44.184 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
2025-05-22 21:33:44.188 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
2025-05-22 21:33:44.190 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-22 21:34:26.547 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - null null ||  ||end 
2025-05-22 21:34:26.611 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-22 21:34:26.622 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
2025-05-22 21:34:26.724 +08:00 || Information || Microsoft.AspNetCore.Http.Result.ContentResult || Write content with HTTP Response ContentType of "text/html" ||  ||end 
2025-05-22 21:34:26.736 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
2025-05-22 21:34:26.742 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - 200 904 "text/html" 198.257ms ||  ||end 
2025-05-22 21:34:26.779 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - null null ||  ||end 
2025-05-22 21:34:26.786 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - null null ||  ||end 
2025-05-22 21:34:26.788 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:34:26.795 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:34:26.808 +08:00 || Information || Microsoft.AspNetCore.Http.Result.FileStreamResult || Sending file with download name '""'. ||  ||end 
2025-05-22 21:34:26.808 +08:00 || Information || Microsoft.AspNetCore.Http.Result.FileStreamResult || Sending file with download name '""'. ||  ||end 
2025-05-22 21:34:26.818 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:34:26.821 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - 200 1046 "text/javascript" 34.9268ms ||  ||end 
2025-05-22 21:34:26.855 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:34:26.862 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - 200 810800 "text/javascript" 83.4015ms ||  ||end 
2025-05-22 21:34:27.468 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/openapi/v1.json""" - null null ||  ||end 
2025-05-22 21:34:27.479 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /openapi/{documentName}.json"' ||  ||end 
2025-05-22 21:34:28.230 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /openapi/{documentName}.json"' ||  ||end 
2025-05-22 21:34:28.232 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/openapi/v1.json""" - 200 null "application/json;charset=utf-8" 764.4246ms ||  ||end 
2025-05-22 21:34:29.862 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/favicon.ico""" - null null ||  ||end 
2025-05-22 21:34:29.874 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/favicon.ico""" - 404 0 null 11.9964ms ||  ||end 
2025-05-22 21:34:29.888 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request reached the end of the middleware pipeline without being handled by application code. Request path: "GET" "http"://"localhost:5000""""/favicon.ico", Response status code: 404 ||  ||end 
2025-05-22 21:34:39.923 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
2025-05-22 21:34:56.073 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-22 21:34:56.248 +08:00 || Information ||  || 运行环境: "MQ接口服务正在运行!!! 请勿随意关闭接口服务，避免造成数据丢失!!! Powered by .NET 9.0.5 强力驱动 on Kestrel" ||  ||end 
2025-05-22 21:34:56.579 +08:00 || Warning || Microsoft.AspNetCore.Server.Kestrel || Overriding address(es) '"https://localhost:7032, http://localhost:5016"'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead. ||  ||end 
2025-05-22 21:34:56.637 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://[::]:5000" ||  ||end 
2025-05-22 21:34:56.641 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
2025-05-22 21:34:56.646 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
2025-05-22 21:34:56.651 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-22 21:35:03.020 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - null null ||  ||end 
2025-05-22 21:35:03.080 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-22 21:35:03.092 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
2025-05-22 21:35:03.158 +08:00 || Information || Microsoft.AspNetCore.Http.Result.ContentResult || Write content with HTTP Response ContentType of "text/html" ||  ||end 
2025-05-22 21:35:03.163 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
2025-05-22 21:35:03.168 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - 200 904 "text/html" 152.6383ms ||  ||end 
2025-05-22 21:35:03.224 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - null null ||  ||end 
2025-05-22 21:35:03.227 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - null null ||  ||end 
2025-05-22 21:35:03.233 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:35:03.237 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:35:03.248 +08:00 || Information || Microsoft.AspNetCore.Http.Result.StatusCodeResult || Setting HTTP status code 304. ||  ||end 
2025-05-22 21:35:03.248 +08:00 || Information || Microsoft.AspNetCore.Http.Result.StatusCodeResult || Setting HTTP status code 304. ||  ||end 
2025-05-22 21:35:03.251 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.js"' ||  ||end 
2025-05-22 21:35:03.254 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/scalar.aspnetcore.js"' ||  ||end 
2025-05-22 21:35:03.257 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.js""" - 304 null null 33.8922ms ||  ||end 
2025-05-22 21:35:03.259 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/scalar.aspnetcore.js""" - 304 null null 31.6462ms ||  ||end 
2025-05-22 21:35:03.469 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/openapi/v1.json""" - null null ||  ||end 
2025-05-22 21:35:03.475 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /openapi/{documentName}.json"' ||  ||end 
2025-05-22 21:35:03.968 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /openapi/{documentName}.json"' ||  ||end 
2025-05-22 21:35:03.972 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "GET" "http"://"localhost:5000""""/openapi/v1.json""" - 200 null "application/json;charset=utf-8" 503.5633ms ||  ||end 
2025-05-22 21:35:22.063 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "GET" "http"://"localhost:5000""""/scalar/""" - null null ||  ||end 
2025-05-22 21:35:22.070 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
2025-05-22 21:35:22.077 +08:00 || Information || Microsoft.AspNetCore.Http.Result.ContentResult || Write content with HTTP Response ContentType of "text/html" ||  ||end 
2025-05-22 21:35:22.085 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"HTTP: GET /scalar/{documentName?}"' ||  ||end 
